constituency,pcon13cd,pcon15cd,first_name,last_name,party,colour,population_all,population_reg,percentage,deviation,
Cardiff West,W07000079,W07000079,Kevin,Brennan,Labour,#DC241f,"92,268",66762,89.29101633,10.70898367,
Carlisle,E14000620,E14000620,John,Stevenson,Conservative,#0087DC,"86,333",65827,88.04049807,11.95950193,
Carmarthen East and Dinefwr,W07000067,W07000067,Jonathan,Edwards,Plaid Cymru,#008142,"71,444",55750,74.56298733,25.43701267,
Carmarthen West and South Pembrokeshire,W07000066,W07000066,Simon,Hart,Conservative,#0087DC,"77,430",57755,77.24457997,22.75542003,
Carshalton and Wallington,E14000621,E14000621,Tom,Brake,Liberal Democrat,#FDBB30,"99,218",69981,93.59627653,6.403723468,
Castle Point,E14000622,E14000622,Rebecca,Harris,Conservative,#0087DC,"88,907",68170,91.17414971,8.825850286,
Central Devon,E14000623,E14000623,Mel,Stride,Conservative,#0087DC,"90,806",72737,97.28229614,2.717703861,
Central Suffolk and North Ipswich,E14000624,E14000624,Daniel,Poulter,Conservative,#0087DC,"99,762",76666,102.5371477,-2.537147748,
Ceredigion,W07000064,W07000064,Mark,Williams,Liberal Democrat,#FDBB30,"75,425",54242,72.54610868,27.45389132,
Charnwood,E14000625,E14000625,Edward,Argar,Conservative,#0087DC,"98,212",77269,103.3436317,-3.343631719,
Chatham and Aylesford,E14000626,E14000626,Tracey,Crouch,Conservative,#0087DC,"101,102",66355,88.74667309,11.25332691,
Cheadle,E14000627,E14000627,Mary,Robinson,Conservative,#0087DC,"92,127",73239,97.95369739,2.046302612,
Chelmsford,E14000628,E14000628,Simon,Burns,Conservative,#0087DC,"107,761",78580,105.0970322,-5.097032192,
Chelsea and Fulham,E14000629,E14000629,Greg,Hands,Conservative,#0087DC,"105,212",63478,84.8988217,15.1011783,
Cheltenham,E14000630,E14000630,Alex,Chalk,Conservative,#0087DC,"105,612",77287,103.3677059,-3.367705867,
Chesham and Amersham,E14000631,E14000631,Cheryl,Gillan,Conservative,#0087DC,"93,972",72547,97.02818013,2.971819872,
Chesterfield,E14000632,E14000632,Toby,Perkins,Labour,#DC241f,"93,909",71625,95.79504875,4.20495125,
Chichester,E14000633,E14000633,Andrew,Tyrie,Conservative,#0087DC,"106,258",83396,111.5382043,-11.53820434,
Chingford and Woodford Green,E14000634,E14000634,Iain,Duncan Smith,Conservative,#0087DC,"90,918",66680,89.18134521,10.81865479,
Chippenham,E14000635,E14000635,Michelle,Donelan,Conservative,#0087DC,"98,257",74218,99.26306357,0.736936431,
Chipping Barnet,E14000636,E14000636,Theresa,Villiers,Conservative,#0087DC,"116,807",77807,104.0631813,-4.063181265,
Chorley,E14000637,E14000637,Lindsay,Hoyle,Labour,#DC241f,"99,182",74679,99.87962926,0.120370742,
Christchurch,E14000638,E14000638,Christopher,Chope,Conservative,#0087DC,"85,227",69303,92.68948361,7.31051639,
Cities of London and Westminster,E14000639,E14000639,Mark,Field,Conservative,#0087DC,"117,862",60992,81.57391432,18.42608568,
City of Chester,E14000640,E14000640,Chris,Matheson,Labour,#DC241f,"95,093",74485,99.62016344,0.379836563,
City of Durham,E14000641,E14000641,Roberta,Blackman-Woods,Labour,#DC241f,"97,237",68725,91.91643596,8.083564044,
Clacton,E14000642,E14000642,Douglas,Carswell,UKIP,#70147A,"86,630",68936,92.19863847,7.801361527,
Cleethorpes,E14000643,E14000643,Martin,Vickers,Conservative,#0087DC,"94,035",71008,94.96984044,5.030159558,
Clwyd South,W07000062,W07000062,Susan Elan,Jones,Labour,#DC241f,"73,269",54996,73.55454801,26.44545199,
Clwyd West,W07000059,W07000059,David,Jones,Conservative,#0087DC,"75,027",58644,78.43357541,21.56642459,
Colchester,E14000644,E14000644,Will,Quince,Conservative,#0087DC,"114,462",74204,99.24433923,0.755660769,
Colne Valley,E14000645,E14000645,Jason,McCartney,Conservative,#0087DC,"110,953",82516,110.361246,-10.36124597,
Congleton,E14000646,E14000646,Fiona,Bruce,Conservative,#0087DC,"92,663",72503,96.96933221,3.03066779,
Copeland,E14000647,E14000647,Jamie,Reed,Labour,#DC241f,"79,930",62087,83.03842502,16.96157498,
Corby,E14000648,E14000648,Tom,Pursglove,Conservative,#0087DC,"115,100",79775,106.6952882,-6.695288154,
Coventry North East,E14000649,E14000649,Colleen,Fletcher,Labour,#DC241f,"118,070",75462,100.9268547,-0.926854713,
Coventry North West,E14000650,E14000650,Geoffrey,Robinson,Labour,#DC241f,"106,624",73626,98.47129158,1.528708422,
Coventry South,E14000651,E14000651,Jim,Cunningham,Labour,#DC241f,"112,734",70397,94.15265685,5.84734315,
Crawley,E14000652,E14000652,Henry,Smith,Conservative,#0087DC,"109,883",73936,98.88590191,1.114098089,
Crewe and Nantwich,E14000653,E14000653,Edward,Timpson,Conservative,#0087DC,"108,671",74169,99.19752839,0.802471613,
Croydon Central,E14000654,E14000654,Gavin,Barwell,Conservative,#0087DC,"117,932",78171,104.550014,-4.550014043,
Croydon North,E14000655,E14000655,Steve,Reed,Labour/Co-operative,#DC241f,"141,843",85941,114.9420214,-14.94202143,
Croydon South,E14000656,E14000656,Chris,Philp,Conservative,#0087DC,"116,265",82010,109.6844949,-9.684494911,
Cynon Valley,W07000070,W07000070,Ann,Clwyd,Labour,#DC241f,"69,892",51422,68.7744921,31.2255079,
Dagenham and Rainham,E14000657,E14000657,Jon,Cruddas,Labour,#DC241f,"106,496",69128,92.45542939,7.544570611,
Darlington,E14000658,E14000658,Jenny,Chapman,Labour,#DC241f,"91,034",65851,88.07259693,11.92740307,
Dartford,E14000659,E14000659,Gareth,Johnson,Conservative,#0087DC,"108,202",75209,100.5884792,-0.588479183,
Daventry,E14000660,E14000660,Chris,Heaton-Harris,Conservative,#0087DC,"95,248",72873,97.4641897,2.535810296,
Delyn,W07000042,W07000042,David,Hanson,Labour,#DC241f,"70,077",53639,71.73962471,28.26037529,
Denton and Reddish,E14000661,E14000661,Andrew,Gwynne,Labour,#DC241f,"86,062",66141,88.46045821,11.53954179,
Derby North,E14000662,E14000662,Amanda,Solloway,Conservative,#0087DC,"101,342",69794,93.34617288,6.653827121,
Derby South,E14000663,E14000663,Margaret,Beckett,Labour,#DC241f,"111,939",70240,93.94267678,6.057323222,
Derbyshire Dales,E14000664,E14000664,Patrick,McLoughlin,Conservative,#0087DC,"78,952",63476,84.8961468,15.1038532,
Devizes,E14000665,E14000665,Claire,Perry,Conservative,#0087DC,"100,857",69205,92.55841325,7.441586754,
Dewsbury,E14000666,E14000666,Paula,Sherriff,Labour,#DC241f,"112,610",79770,106.6886009,-6.688600891,
Don Valley,E14000667,E14000667,Caroline,Flint,Labour,#DC241f,"98,740",71299,95.35903917,4.640960826,
Doncaster Central,E14000668,E14000668,Rosie,Winterton,Labour,#DC241f,"106,981",71136,95.14103439,4.858965614,
Doncaster North,E14000669,E14000669,Ed,Miliband,Labour,#DC241f,"98,464",70989,94.94442884,5.055571159,
Dover,E14000670,E14000670,Charlie,Elphicke,Conservative,#0087DC,"99,003",72930,97.54042451,2.459575493,
Dudley North,E14000671,E14000671,Ian,Austin,Labour,#DC241f,"83,042",60717,81.20611483,18.79388517,
Dudley South,E14000672,E14000672,Mike,Wood,Conservative,#0087DC,"80,285",60363,80.73265658,19.26734342,
Dulwich and West Norwood,E14000673,E14000673,Helen,Hayes,Labour,#DC241f,"113,754",76575,102.4154396,-2.415439554,
Dwyfor Meirionnydd,W07000061,W07000061,Liz,Saville-Roberts,Plaid Cymru,#008142,"61,185",44394,59.37487461,40.62512539,
Ealing Central and Acton,E14000674,E14000674,Rupa,Huq,Labour,#DC241f,"121,006",71422,95.52354585,4.476454145,
Ealing North,E14000675,E14000675,Steve,Pound,Labour,#DC241f,"122,533",73881,98.81234201,1.187657987,
"Ealing, Southall",E14000676,E14000676,Virendra,Sharma,Labour,#DC241f,"98,579",65606,87.74492102,12.25507898,
Easington,E14000677,E14000677,Grahame,Morris,Labour,#DC241f,"82,761",61659,82.46599527,17.53400473,
East Devon,E14000678,E14000678,Hugo,Swire,Conservative,#0087DC,"98,326",76519,102.3405422,-2.340542203,
East Ham,E14000679,E14000679,Stephen,Timms,Labour,#DC241f,"157,946",87382,116.8692907,-16.86929075,
East Hampshire,E14000680,E14000680,Damian,Hinds,Conservative,#0087DC,"96,816",71074,95.05811232,4.941887681,
East Surrey,E14000681,E14000681,Sam,Gyimah,Conservative,#0087DC,"108,531",79654,106.5334564,-6.533456379,
East Worthing and Shoreham,E14000682,E14000682,Tim,Loughton,Conservative,#0087DC,"98,758",74775,100.0080247,-0.008024716,
East Yorkshire,E14000683,E14000683,Greg,Knight,Conservative,#0087DC,"101,009",81023,108.3644291,-8.364429108,
Eastbourne,E14000684,E14000684,Caroline,Ansell,Conservative,#0087DC,"109,024",78262,104.6717222,-4.671722238,
Eastleigh,E14000685,E14000685,Mims,Davies,Conservative,#0087DC,"107,232",79609,106.473271,-6.473271008,
Eddisbury,E14000686,E14000686,Antoinette,Sandbach,Conservative,#0087DC,"86,049",68569,91.70779334,8.292206663,
Edmonton,E14000687,E14000687,Kate,Osamor,Labour/Co-operative,#DC241f,"117,435",66016,88.29327663,11.70672337,
Ellesmere Port and Neston,E14000688,E14000688,Justin,Madders,Labour,#DC241f,"87,151",69223,92.58248739,7.417512605,
Elmet and Rothwell,E14000689,E14000689,Alec,Shelbrooke,Conservative,#0087DC,"99,823",79143,105.8500181,-5.850018056,
Eltham,E14000690,E14000690,Clive,Efford,Labour,#DC241f,"92,875",63998,85.5942971,14.4057029,
Enfield North,E14000691,E14000691,Joan,Ryan,Labour,#DC241f,"106,314",68118,91.10460217,8.895397825,
"Enfield, Southgate",E14000692,E14000692,David,Burrowes,Conservative,#0087DC,"100,825",64937,86.85016518,13.14983482,
Epping Forest,E14000693,E14000693,Eleanor,Laing,Conservative,#0087DC,"98,324",73447,98.23188755,1.768112453,
Epsom and Ewell,E14000694,E14000694,Chris,Grayling,Conservative,#0087DC,"108,228",78633,105.1679172,-5.167917185,
Erewash,E14000695,E14000695,Maggie,Throup,Conservative,#0087DC,"95,778",71943,96.2203587,3.779641295,
Erith and Thamesmead,E14000696,E14000696,Teresa,Pearce,Labour,#DC241f,"117,820",70397,94.15265685,5.84734315,
Esher and Walton,E14000697,E14000697,Dominic,Raab,Conservative,#0087DC,"111,139",79894,106.854445,-6.854445024,
Exeter,E14000698,E14000698,Ben,Bradshaw,Labour,#DC241f,"111,435",76968,102.9410585,-2.94105846,
Fareham,E14000699,E14000699,Suella,Fernandes,Conservative,#0087DC,"100,003",77114,103.1363266,-3.136326552,
Faversham and Mid Kent,E14000700,E14000700,Helen,Whately,Conservative,#0087DC,"94,564",69523,92.9837232,7.016276799,
Feltham and Heston,E14000701,E14000701,Seema,Malhotra,Labour/Co-operative,#DC241f,"132,403",82340,110.1258543,-10.1258543,
Filton and Bradley Stoke,E14000702,E14000702,Jack,Lopresti,Conservative,#0087DC,"97,724",71310,95.37375115,4.626248846,
Finchley and Golders Green,E14000703,E14000703,Mike,Freer,Conservative,#0087DC,"126,166",72530,97.00544343,2.994556568,
Folkestone and Hythe,E14000704,E14000704,Damian,Collins,Conservative,#0087DC,"114,674",83651,111.8792548,-11.87925477,
Forest of Dean,E14000705,E14000705,Mark,Harper,Conservative,#0087DC,"87,895",69865,93.44113202,6.55886798,
Fylde,E14000706,E14000706,Mark,Menzies,Conservative,#0087DC,"83,168",65679,87.84255507,12.15744493,
Gainsborough,E14000707,E14000707,Edward,Leigh,Conservative,#0087DC,"94,348",74686,99.88899143,0.111008573,
Garston and Halewood,E14000708,E14000708,Maria,Eagle,Labour,#DC241f,"98,471",73719,98.59567468,1.404325322,
Gateshead,E14000709,E14000709,Ian,Mearns,Labour,#DC241f,"94,765",64524,86.29779722,13.70220278,
Gedling,E14000710,E14000710,Vernon,Coaker,Labour,#DC241f,"94,136",70000,93.62168813,6.378311867,
Gillingham and Rainham,E14000711,E14000711,Rehman,Chishti,Conservative,#0087DC,"101,555",70984,94.93774158,5.062258423,
Gloucester,E14000712,E14000712,Richard,Graham,Conservative,#0087DC,"116,045",82968,110.9657746,-10.96577459,
Gosport,E14000713,E14000713,Caroline,Dinenage,Conservative,#0087DC,"98,615",73268,97.99248352,2.007516484,
Gower,W07000046,W07000046,Byron,Davies,Conservative,#0087DC,"78,107",61820,82.68132515,17.31867485,
Grantham and Stamford,E14000714,E14000714,Nicholas,Boles,Conservative,#0087DC,"108,180",81150,108.5342856,-8.5342856,
Gravesham,E14000715,E14000715,Adam,Holloway,Conservative,#0087DC,"105,261",72043,96.35410397,3.645896026,
Great Grimsby,E14000716,E14000716,Melanie,Onn,Labour,#DC241f,"88,345",59200,79.17719911,20.82280089,
Great Yarmouth,E14000717,E14000717,Brandon,Lewis,Conservative,#0087DC,"98,172",69793,93.34483543,6.655164574,
Greenwich and Woolwich,E14000718,E14000718,Matthew,Pennycook,Labour,#DC241f,"118,847",73315,98.05534379,1.944656208,
Guildford,E14000719,E14000719,Anne,Milton,Conservative,#0087DC,"110,995",75733,101.2893044,-1.289304391,
Hackney North and Stoke Newington,E14000720,E14000720,Diane,Abbott,Labour,#DC241f,"136,365",88153,117.9004668,-17.90046677,
Hackney South and Shoreditch,E14000721,E14000721,Meg,Hillier,Labour/Co-operative,#DC241f,"126,785",84971,113.6446923,-13.64469232,
Halesowen and Rowley Regis,E14000722,E14000722,James,Morris,Conservative,#0087DC,"88,899",66048,88.33607511,11.66392489,
Halifax,E14000723,E14000723,Holly,Lynch,Labour,#DC241f,"103,248",70462,94.23959127,5.760408726,
Haltemprice and Howden,E14000724,E14000724,David,Davis,Conservative,#0087DC,"89,310",71195,95.21994409,4.780055906,
Halton,E14000725,E14000725,Derek,Twigg,Labour,#DC241f,"95,916",72818,97.39062981,2.609370194,
Hammersmith,E14000726,E14000726,Andrew,Slaughter,Labour,#DC241f,"115,473",72254,96.63630649,3.363693509,
Hampstead and Kilburn,E14000727,E14000727,Tulip,Siddiq,Labour,#DC241f,"136,464",80195,107.2570183,-7.257018283,
Harborough,E14000728,E14000728,Edward,Garnier,Conservative,#0087DC,"102,471",77760,104.000321,-4.000320989,
Harlow,E14000729,E14000729,Robert,Halfon,Conservative,#0087DC,"95,088",67994,90.93875804,9.061241959,
Harrogate and Knaresborough,E14000730,E14000730,Andrew,Jones,Conservative,#0087DC,"101,346",76408,102.192085,-2.192084955,
Harrow East,E14000731,E14000731,Bob,Blackman,Conservative,#0087DC,"107,339",70981,94.93372922,5.066270781,
Harrow West,E14000732,E14000732,Gareth,Thomas,Labour/Co-operative,#DC241f,"106,977",69644,93.14555498,6.854445024,
Hartlepool,E14000733,E14000733,Iain,Wright,Labour,#DC241f,"92,590",69947,93.55080314,6.44919686,
Harwich and North Essex,E14000734,E14000734,Bernard,Jenkin,Conservative,#0087DC,"92,753",69290,92.67209672,7.327903275,
Hastings and Rye,E14000735,E14000735,Amber,Rudd,Conservative,#0087DC,"109,325",75095,100.4360096,-0.436009576,
Havant,E14000736,E14000736,Alan,Mak,Conservative,#0087DC,"93,138",70573,94.38804852,5.611951477,
Hayes and Harlington,E14000737,E14000737,John Martin,McDonnell,Labour,#DC241f,"120,568",74874,100.1404325,-0.140432532,
Hazel Grove,E14000738,E14000738,William,Wragg,Conservative,#0087DC,"79,829",63098,84.39058968,15.60941032,
Hemel Hempstead,E14000739,E14000739,Mike,Penning,Conservative,#0087DC,"103,117",74616,99.79536974,0.204630261,
Hemsworth,E14000740,E14000740,Jon,Trickett,Labour,#DC241f,"94,809",72714,97.25153473,2.748465273,
Hendon,E14000741,E14000741,Matthew,Offord,Conservative,#0087DC,"131,942",75285,100.6901256,-0.690125587,
Henley,E14000742,E14000742,John,Howell,Conservative,#0087DC,"99,042",77946,104.2490872,-4.249087189,
Hereford and South Herefordshire,E14000743,E14000743,Jesse,Norman,Conservative,#0087DC,"99,146",71485,95.60780537,4.392194626,
Hertford and Stortford,E14000744,E14000744,Mark,Prisk,Conservative,#0087DC,"111,195",80610,107.8120611,-7.812061148,
Hertsmere,E14000745,E14000745,Oliver,Dowden,Conservative,#0087DC,"102,427",73767,98.65987241,1.340127593,
Hexham,E14000746,E14000746,Guy,Opperman,Conservative,#0087DC,"76,338",59708,79.85662507,20.14337493,
Heywood and Middleton,E14000747,E14000747,Liz,McInnes,Labour,#DC241f,"104,705",79989,106.981503,-6.981503029,
High Peak,E14000748,E14000748,Andrew,Bingham,Conservative,#0087DC,"91,364",73336,98.0834303,1.916569701,
Hitchin and Harpenden,E14000749,E14000749,Peter,Lilley,Conservative,#0087DC,"102,141",80333,107.4415868,-7.441586754,
Holborn and St Pancras,E14000750,E14000750,Keir,Starmer,Labour,#DC241f,"143,242",86764,116.042745,-16.04274499,
Hornchurch and Upminster,E14000751,E14000751,Angela,Watkinson,Conservative,#0087DC,"106,274",79331,106.1014592,-6.101459161,
Hornsey and Wood Green,E14000752,E14000752,Catherine,West,Labour,#DC241f,"129,438",79247,105.9891131,-5.989113135,
Horsham,E14000753,E14000753,Jeremy,Quin,Conservative,#0087DC,"106,628",79085,105.7724458,-5.7724458,
Houghton and Sunderland South,E14000754,E14000754,Bridget,Phillipson,Labour,#DC241f,"87,641",68324,91.38011743,8.619882572,
Hove,E14000755,E14000755,Peter,Kyle,Labour,#DC241f,"101,279",73505,98.3094598,1.690540197,
Huddersfield,E14000756,E14000756,Barry,Sheerman,Labour/Co-operative,#DC241f,"97,132",65269,87.29419947,12.70580053,
Huntingdon,E14000757,E14000757,Jonathan,Djanogly,Conservative,#0087DC,"116,371",82593,110.4642298,-10.46422983,
Hyndburn,E14000758,E14000758,Graham,Jones,Labour,#DC241f,"91,907",68341,91.40285412,8.597145876,
Ilford North,E14000759,E14000759,Wes,Streeting,Labour,#DC241f,"106,521",75294,100.7021627,-0.702162661,
Ilford South,E14000760,E14000760,Mike,Gapes,Labour/Co-operative,#DC241f,"139,639",91987,123.0282604,-23.02826038,
Ipswich,E14000761,E14000761,Ben,Gummer,Conservative,#0087DC,"110,635",74499,99.63888777,0.361112226,
Isle of Wight,E14000762,E14000762,Andrew,Turner,Conservative,#0087DC,"139,105",108804,145.5202022,-45.52020222,
Islington North,E14000763,E14000763,Jeremy,Corbyn,Labour,#DC241f,"109,267",73326,98.07005577,1.929944228,
Islington South and Finsbury,E14000764,E14000764,Emily,Thornberry,Labour,#DC241f,"111,763",68127,91.11663925,8.883360751,
Islwyn,W07000077,W07000077,Chris,Evans,Labour/Co-operative,#DC241f,"75,858",55697,74.49210234,25.50789766,
Jarrow,E14000765,E14000765,Stephen,Hepburn,Labour,#DC241f,"83,359",64002,85.59964691,14.40035309,
Keighley,E14000766,E14000766,Kris,Hopkins,Conservative,#0087DC,"97,183",68865,92.10367933,7.896320668,
Kenilworth and Southam,E14000767,E14000767,Jeremy,Wright,Conservative,#0087DC,"81,838",63957,85.53946154,14.46053846,
Kensington,E14000768,E14000768,Victoria,Borwick,Conservative,#0087DC,"113,870",61133,81.76249515,18.23750485,
Kettering,E14000769,E14000769,Philip,Hollobone,Conservative,#0087DC,"96,945",70155,93.8289933,6.171006701,
Kingston and Surbiton,E14000770,E14000770,James,Berry,Conservative,#0087DC,"124,656",81238,108.6519814,-8.651981436,
Kingston upon Hull East,E14000771,E14000771,Karl,Turner,Labour,#DC241f,"91,941",65710,87.8840161,12.1159839,
Kingston upon Hull North,E14000772,E14000772,Diana R.,Johnson,Labour,#DC241f,"95,006",64148,85.794915,14.205085,
Kingston upon Hull West and Hessle,E14000773,E14000773,Alan,Johnson,Labour,#DC241f,"85,622",59100,79.04345384,20.95654616,
Kingswood,E14000774,E14000774,Chris,Skidmore,Conservative,#0087DC,"89,562",68193,91.20491113,8.795088874,
Knowsley,E14000775,E14000775,George,Howarth,Labour,#DC241f,"104,032",79108,105.8032072,-5.803207212,
Lancaster and Fleetwood,E14000776,E14000776,Cat,Smith,Labour,#DC241f,"88,492",61922,82.81774532,17.18225468,
Leeds Central,E14000777,E14000777,Hilary,Benn,Labour,#DC241f,"142,141",81799,109.4022924,-9.402292394,
Leeds East,E14000778,E14000778,Richard,Burgon,Labour,#DC241f,"96,829",64754,86.60541133,13.39458867,
Leeds North East,E14000779,E14000779,Fabian,Hamilton,Labour,#DC241f,"92,508",69097,92.41396836,7.586031644,
Leeds North West,E14000780,E14000780,Greg,Mulholland,Liberal Democrat,#FDBB30,"84,040",61974,82.88729286,17.11270714,
Leeds West,E14000781,E14000781,Rachel,Reeves,Labour,#DC241f,"93,673",64950,86.86755206,13.13244794,
Leicester East,E14000782,E14000782,Keith,Vaz,Labour,#DC241f,"112,243",75430,100.8840562,-0.884056227,
Leicester South,E14000783,E14000783,Jon,Ashworth,Labour/Co-operative,#DC241f,"120,535",73518,98.32684669,1.673153312,
Leicester West,E14000784,E14000784,Liz,Kendall,Labour,#DC241f,"104,875",63204,84.53235967,15.46764033,
Leigh,E14000785,E14000785,Andy,Burnham,Labour,#DC241f,"104,160",75905,101.5193463,-1.519346253,
Lewes,E14000786,E14000786,Maria,Caulfield,Conservative,#0087DC,"90,880",69481,92.92755019,7.072449812,
Lewisham East,E14000787,E14000787,Heidi,Alexander,Labour,#DC241f,"107,520",66913,89.49297169,10.50702831,
Lewisham West and Penge,E14000788,E14000788,Jim,Dowd,Labour,#DC241f,"112,119",72290,96.68445479,3.315545213,
"Lewisham, Deptford",E14000789,E14000789,Vicky,Foxcroft,Labour,#DC241f,"119,954",73428,98.20647595,1.793524054,
Leyton and Wanstead,E14000790,E14000790,John,Cryer,Labour,#DC241f,"108,086",64580,86.37269457,13.62730543,
Lichfield,E14000791,E14000791,Michael,Fabricant,Conservative,#0087DC,"94,519",74234,99.28446281,0.715537188,
Lincoln,E14000792,E14000792,Karl,McCartney,Conservative,#0087DC,"109,213",74121,99.13333066,0.866669342,
"Liverpool, Riverside",E14000793,E14000793,Louise,Ellman,Labour/Co-operative,#DC241f,"119,885",70829,94.73043641,5.269563589,
"Liverpool, Walton",E14000794,E14000794,Steve,Rotheram,Labour,#DC241f,"91,770",61908,82.79902098,17.20097902,
"Liverpool, Wavertree",E14000795,E14000795,Luciana,Berger,Labour/Co-operative,#DC241f,"92,536",61549,82.31887547,17.68112453,
"Liverpool, West Derby",E14000796,E14000796,Stephen,Twigg,Labour/Co-operative,#DC241f,"90,604",63651,85.13020102,14.86979898,
Llanelli,W07000045,W07000045,Nia,Griffith,Labour,#DC241f,"81,895",59314,79.32966871,20.67033129,
Loughborough,E14000797,E14000797,Nicky,Morgan,Conservative,#0087DC,"103,482",75217,100.5991788,-0.599178804,
Louth and Horncastle,E14000798,E14000798,Victoria,Atkins,Conservative,#0087DC,"97,622",74870,100.1350827,-0.135082721,
Ludlow,E14000799,E14000799,Philip,Dunne,Conservative,#0087DC,"85,447",66374,88.77208469,11.22791531,
Luton North,E14000800,E14000800,Kelvin,Hopkins,Labour,#DC241f,"101,550",67329,90.049352,9.950647996,
Luton South,E14000801,E14000801,Gavin,Shuker,Labour/Co-operative,#DC241f,"115,552",67741,90.60038251,9.399617489,
Macclesfield,E14000802,E14000802,David,Rutley,Conservative,#0087DC,"93,856",71712,95.91140713,4.088592866,
Maidenhead,E14000803,E14000803,Theresa,May,Conservative,#0087DC,"103,937",74187,99.22160254,0.778397464,
Maidstone and The Weald,E14000804,E14000804,Helen,Grant,Conservative,#0087DC,"105,075",73181,97.87612513,2.123874868,
Makerfield,E14000805,E14000805,Yvonne,Fovargue,Labour,#DC241f,"98,894",74320,99.39948374,0.600516257,
Maldon,E14000806,E14000806,John,Whittingdale,Conservative,#0087DC,"90,124",69066,92.37250732,7.627492677,
Manchester Central,E14000807,E14000807,Lucy,Powell,Labour/Co-operative,#DC241f,"143,009",86078,115.1252524,-15.12525244,
"Manchester, Gorton",E14000808,E14000808,Gerald,Kaufman,Labour,#DC241f,"114,184",72992,97.62334657,2.376653426,
"Manchester, Withington",E14000809,E14000809,Jeff,Smith,Labour,#DC241f,"99,956",74102,99.10791906,0.892080943,
Mansfield,E14000810,E14000810,Alan,Meale,Labour,#DC241f,"105,893",77534,103.6980567,-3.698056681,
Meon Valley,E14000811,E14000811,George,Hollingbery,Conservative,#0087DC,"91,718",72738,97.28363359,2.716366409,
Meriden,E14000812,E14000812,Caroline,Spelman,Conservative,#0087DC,"109,448",81928,109.5748238,-9.574823791,
Merthyr Tydfil and Rhymney,W07000071,W07000071,Gerald,Jones,Labour,#DC241f,"75,388",61716,82.54223007,17.45776993,
Mid Bedfordshire,E14000813,E14000813,Nadine,Dorries,Conservative,#0087DC,"105,654",78501,104.9913734,-4.99137343,
Mid Derbyshire,E14000814,E14000814,Pauline,Latham,Conservative,#0087DC,"84,782",67477,90.247295,9.752704998,
Mid Dorset and North Poole,E14000815,E14000815,Michael,Tomlinson,Conservative,#0087DC,"81,540",64299,85.99687036,14.00312964,
Mid Norfolk,E14000816,E14000816,George,Freeman,Conservative,#0087DC,"102,544",77154,103.1898247,-3.18982466,
Mid Sussex,E14000817,E14000817,Nicholas,Soames,Conservative,#0087DC,"109,445",81034,108.3791411,-8.379141088,
Mid Worcestershire,E14000818,E14000818,Nigel,Huddleston,Conservative,#0087DC,"96,647",73069,97.72633043,2.273669569,
Middlesbrough,E14000819,E14000819,Andy,McDonald,Labour,#DC241f,"94,653",61873,82.75221014,17.24778986,
Middlesbrough South and East Cleveland,E14000820,E14000820,Tom,Blenkinsop,Labour,#DC241f,"92,713",71154,95.16510853,4.834891466,
Milton Keynes North,E14000821,E14000821,Mark,Lancaster,Conservative,#0087DC,"127,725",86826,116.1256671,-16.12566705,
Milton Keynes South,E14000822,E14000822,Iain,Stewart,Conservative,#0087DC,"131,520",89656,119.9106582,-19.91065816,
Mitcham and Morden,E14000823,E14000823,Siobhain,McDonagh,Labour,#DC241f,"106,446",68474,91.58073533,8.419264669,
Mole Valley,E14000824,E14000824,Paul,Beresford,Conservative,#0087DC,"95,912",74038,99.02232209,0.977677915,
Monmouth,W07000054,W07000054,David,Davies,Conservative,#0087DC,"84,500",62248,83.2537549,16.7462451,
Montgomeryshire,W07000063,W07000063,Glyn,Davies,Conservative,#0087DC,"63,529",48690,65.12057136,34.87942864,
Morecambe and Lunesdale,E14000825,E14000825,David,Morris,Conservative,#0087DC,"88,964",66985,89.58926828,10.41073172,
Morley and Outwood,E14000826,E14000826,Andrea,Jenkyns,Conservative,#0087DC,"97,509",75820,101.4056628,-1.405662775,
Neath,W07000069,W07000069,Christina,Rees,Labour,#DC241f,"73,875",56097,75.02708342,24.97291658,
New Forest East,E14000827,E14000827,Julian,Lewis,Conservative,#0087DC,"93,597",72697,97.22879803,2.771201969,
New Forest West,E14000828,E14000828,Desmond,Swayne,Conservative,#0087DC,"85,310",68446,91.54328666,8.456713344,
Newark,E14000829,E14000829,Robert,Jenrick,Conservative,#0087DC,"101,751",73747,98.63312335,1.366876647,
Newbury,E14000830,E14000830,Richard,Benyon,Conservative,#0087DC,"109,155",79512,106.3435381,-6.343538097,
Newcastle upon Tyne Central,E14000831,E14000831,Chi,Onwurah,Labour,#DC241f,"98,501",58147,77.76886143,22.23113857,
Newcastle upon Tyne East,E14000832,E14000832,Nick,Brown,Labour,#DC241f,"99,930",64243,85.92197301,14.07802699,
Newcastle upon Tyne North,E14000833,E14000833,Catherine,McKinnell,Labour,#DC241f,"91,404",67902,90.81571239,9.184287606,
Newcastle-under-Lyme,E14000834,E14000834,Paul,Farrelly,Labour,#DC241f,"91,205",67619,90.43721328,9.562786716,
Newport East,W07000055,W07000055,Jessica,Morden,Labour,#DC241f,"78,867",56015,74.9174123,25.0825877,
Newport West,W07000056,W07000056,Paul,Flynn,Labour,#DC241f,"85,689",62137,83.10529765,16.89470235,
Newton Abbot,E14000835,E14000835,Anne Marie,Morris,Conservative,#0087DC,"87,873",69928,93.52539154,6.474608461,
